State,Median Salary
Alabama,"$50,620 "
Alaska,"$66,130 "
Arizona,"$58,620 "
Arkansas,"$48,570 "
California,"$73,220 "
Colorado,"$67,870 "
Connecticut,"$69,310 "
Delaware,"$62,260 "
Florida,"$55,980 "
Georgia,"$58,000 "
Hawaii,"$61,420 "
Idaho,"$51,350 "
Illinois,"$63,930 "
Indiana,"$53,500 "
Iowa,"$53,520 "
Kansas,"$52,850 "
Kentucky,"$51,490 "
Louisiana,"$50,940 "
Maine,"$55,960 "
Maryland,"$69,750 "
Massachusetts,"$76,600 "
Michigan,"$58,000 "
Minnesota,"$63,640 "
Mississippi,"$45,180 "
Missouri,"$54,520 "
Montana,"$52,200 "
Nebraska,"$55,070 "
Nevada,"$55,490 "
New Hampshire,"$62,550 "
New Jersey,"$70,890 "
New Mexico,"$54,400 "
New York,"$74,870 "
North Carolina,"$56,220 "
North Dakota,"$55,800 "
Ohio,"$56,530 "
Oklahoma,"$50,940 "
Oregon,"$62,680 "
Pennsylvania,"$58,470 "
Rhode Island,"$64,530 "
South Carolina,"$50,650 "
South Dakota,"$49,890 "
Tennessee,"$52,820 "
Texas,"$57,300 "
Utah,"$57,360 "
Vermont,"$59,190 "
Virginia,"$65,590 "
Washington,"$72,350 "
West Virginia,"$49,170 "
Wisconsin,"$56,120 "
Wyoming,"$54,440 "
